1000	446.078125	137176.125	433.78125	141051.015625
2000	457.21875	545658.0	1429.46875	559980.046875
3000	1043.78125	1.20264534375e6	1043.78125	1.231285921875e6
4000	1067.21875	2.1626680625e6	1067.21875	2.218904265625e6
5000	1090.65625	3.370074875e6	1090.65625	3.455398921875e6
6000	1114.09375	4.7649744375e6	1114.09375	4.892225390625e6
7000	3255.28125	6.62775721875e6	3255.28125	6.799048859375e6
8000	2306.46875	8.6928630625e6	2306.46875	8.907748421875e6
9000	2329.90625	1.0886994375e7	2329.90625	1.1166289921875e7
10000	2353.34375	1.34171403125e7	2353.34375	1.3744214640625e7
11000	2376.78125	1.635931471875e7	2376.78125	1.6756148328125e7
12000	6830.59375	1.979875075e7	6830.59375	2.0277318078125e7
13000	6854.03125	2.29481823125e7	6854.03125	2.3528446703125e7
14000	4759.71875	2.659553878125e7	4759.71875	2.7261242515625e7
15000	4783.15625	3.04612905e7	4783.15625	3.1226034140625e7
