1000	1.1609179125161992e-14	4.617380053532766e-16	1.1609179125161992e-14	4.617380053532766e-16
2000	1.2612284797402833e-14	4.777959296603251e-16	1.2612284797402833e-14	4.777959296603251e-16
3000	4.133321275316054e-14	4.628667009267583e-16	4.133321275316054e-14	4.628667009267583e-16
4000	8.047440125690528e-15	4.581637676492595e-16	8.047440125690528e-15	4.581637676492595e-16
5000	2.6484909348535394e-14	4.463455571899844e-16	2.6484909348535394e-14	4.463455571899844e-16
6000	4.2940550981274215e-14	4.2041894849163127e-16	4.2940550981274215e-14	4.2041894849163127e-16
7000	3.7566038367827404e-14	4.443785665843299e-16	3.7566038367827404e-14	4.443785665843299e-16
8000	5.4882335744644e-14	4.4368657147537686e-16	5.4882335744644e-14	4.4368657147537686e-16
9000	8.109126735815906e-14	4.518287937705369e-16	8.109126735815906e-14	4.518287937705369e-16
10000	3.970193093462694e-14	4.368272626587955e-16	3.970193093462694e-14	4.368272626587955e-16
11000	1.9630106288058956e-14	4.47057964636014e-16	1.9630106288058956e-14	4.47057964636014e-16
12000	1.401914285187059e-14	4.457295417766688e-16	1.401914285187059e-14	4.457295417766688e-16
13000	4.062541325787249e-14	4.476426521544921e-16	4.062541325787249e-14	4.476426521544921e-16
14000	2.371000402378717e-14	4.443706415129202e-16	2.371000402378717e-14	4.443706415129202e-16
15000	1.968754302149102e-14	4.534378815829483e-16	1.968754302149102e-14	4.534378815829483e-16
